paper_id,year,steel_grade,composition,heat_treatment,microstructure,conductivity_method,conductivity_value_units,temp_C,uncertainty,machining_process,tool,cutting_params,machinability_metric,key_findings,tags,link_or_doi
garcia_2012_contactless,2011,,,,,,,,,,,,,"Comprehensive review of eddy current NDT techniques; ferromagnetic materials present permeability-conductivity coupling challenges; multi-frequency and pulsed EC and saturation techniques help decouple conductivity from permeability",pillar_C eddy_current NDT review ferromagnetic contactless,10.3390/s110302525
smithells_2004_metals,2004,Pure iron,,,,literature,9.71 micro-ohm-cm,20,,,,,,"Comprehensive resistivity data tabulated for steels by composition and heat treatment; alloying elements increase resistivity systematically; Wiedemann-Franz law links electrical and thermal conductivity",pillar_B resistivity reference_data steel physical_properties,N/A
cahn_1996_microstructure,1996,,,,,,,,,,,,,"Microstructural features (grain boundaries phases precipitates dislocations) simultaneously affect electrical thermal and mechanical properties; same lattice defects that scatter electrons impede dislocation motion creating physical link between conductivity and strength",pillar_B microstructure phase_transformations physical_metallurgy foundational,N/A
han_2010_conductivity,2010,Low-alloy steels,,Q&T various temper temps,tempered martensite,eddy current,,,,,,,,Eddy current conductivity correlates strongly with hardness for heat-treated steels (R^2 > 0.9); tempering increases conductivity and decreases hardness monotonically; correlation is alloy-specific,multi conductivity hardness eddy_current mechanical_properties key_bridging,10.1007/s11665-010-9596-x
thelning_1984_steel,1984,AISI 1045,,,,,,,,,,,,"CCT diagrams for low-alloy steels show how cooling rate determines microstructure; tempering produces systematic carbide precipitation and dislocation recovery; alloying elements retard softening by forming stable alloy carbides",pillar_B heat_treatment microstructure CCT tempering steel,N/A
thelning_1984_steel,1984,AISI 4140,,,,,,,,,,,,"CCT diagrams for low-alloy steels show how cooling rate determines microstructure; tempering produces systematic carbide precipitation and dislocation recovery; alloying elements retard softening by forming stable alloy carbides",pillar_B heat_treatment microstructure CCT tempering steel,N/A
thelning_1984_steel,1984,AISI 4340,,,,,,,,,,,,"CCT diagrams for low-alloy steels show how cooling rate determines microstructure; tempering produces systematic carbide precipitation and dislocation recovery; alloying elements retard softening by forming stable alloy carbides",pillar_B heat_treatment microstructure CCT tempering steel,N/A
koley_2019_prediction,2019,,,,,,calculated,,,,,,,"ANN predicts steel resistivity within 3-5% of measured values from composition and temperature; carbon content and temperature are strongest predictors; nonlinear composition interactions captured by ANN but missed by linear models",pillar_D ANN resistivity prediction steel composition,10.1080/03019233.2017.1393797
bustillo_2018_ml,2021,,,,,,,,,,,,,"Including workpiece metallurgical data improves ML prediction of machining quality by 15-25%; random forest and gradient boosting outperform SVM and ANN; workpiece hardness ranks among top 3 most important features",pillar_D machine_learning surface_quality metallurgy random_forest gradient_boosting,10.1007/s10845-020-01612-4
shaw_2005_machinability,2005,AISI 1045,,,,,,,,turning,,,"Machinability index (B1112=100%)","Machinability depends on complete tool-workpiece-process system; cutting forces predictable from material flow stress and shear angle; machinability index (B1112=100%) has severe limitations",pillar_A machinability cutting_mechanics tool_wear foundational,N/A
shaw_2005_machinability,2005,AISI 4140,,,,,,,,turning,,,"Machinability index (B1112=100%)","Machinability depends on complete tool-workpiece-process system; cutting forces predictable from material flow stress and shear angle; machinability index (B1112=100%) has severe limitations",pillar_A machinability cutting_mechanics tool_wear foundational,N/A
shaw_2005_machinability,2005,AISI 4340,,,,,,,,turning,,,"Machinability index (B1112=100%)","Machinability depends on complete tool-workpiece-process system; cutting forces predictable from material flow stress and shear angle; machinability index (B1112=100%) has severe limitations",pillar_A machinability cutting_mechanics tool_wear foundational,N/A
sick_2002_online,2002,,,,,,,,,,,,,"Feature selection is critical for ANN tool wear monitoring; MLP with 1-2 hidden layers sufficient; training data should cover full operating range; model transfer across workpiece materials remains major challenge",pillar_D ANN tool_wear monitoring review turning,10.1006/mssp.2001.1460
das_2017_aisi4340,2017,AISI 4340,,hardened ~48 HRC,martensite,,,,,turning,coated carbide CNMG,,"Ra=0.4-2.8 um; VB=0.05-0.35 mm","Cutting speed dominant factor for flank wear (>50% contribution); feed rate dominant for surface roughness (>60%); optimal conditions: moderate speed low feed moderate depth",pillar_A AISI_4340 turning surface_roughness flank_wear Taguchi,10.1504/IJMMM.2017.086182
trent_2000_toolwear,2000,,,,,,,,,,,,,"Tool-chip interface seizure is normal in metal cutting; tool wear mechanisms depend on workpiece material properties and cutting temperature; inclusions (MnS Ca-treated oxides) improve machinability",pillar_A tool_wear metallurgy flow_zone foundational,N/A
ezugwu_2007_machinability,2005,AISI 4340,,hardened,,,,,,turning,,,"Tool life","Material properties reducing machinability: high hot strength work hardening low thermal conductivity abrasive phases; tool material selection significantly affects machinability; machinability is a system property",pillar_A machinability difficult_to_cut review aerospace,10.1016/j.ijmachtools.2005.02.003
wang_2018_eddy,2018,Carbon steel,,varied heat treatments,,PEC,,,,,,,,Pulsed eddy current extracts conductivity from ferromagnetic metals via late-time signal decay; method validated against four-probe DC within 5%; minimum specimen thickness requirements established,pillar_C pulsed_eddy_current ferromagnetic conductivity NDT,10.1016/j.ndteint.2018.03.009
wang_2018_eddy,2018,Low-alloy steel,,varied heat treatments,,PEC,,,,,,,,Pulsed eddy current extracts conductivity from ferromagnetic metals via late-time signal decay; method validated against four-probe DC within 5%; minimum specimen thickness requirements established,pillar_C pulsed_eddy_current ferromagnetic conductivity NDT,10.1016/j.ndteint.2018.03.009
iso_3685_1993,1993,,,,,,,,,,,,VB=0.3 mm (tool life criterion),"Flank wear VB=0.3 mm is standard tool life criterion; Taylor tool-life equation (VT^n=C) provides machinability comparison framework; standardised conditions essential for valid material comparison",pillar_A tool_life flank_wear standard ISO turning,N/A
takamura_1969_resistivity,1969,Pure iron,,,,4-probe DC,,cryogenic,,,,,,"Plastic deformation increases resistivity via dislocation and point defect generation; dislocation contribution ~2-4 micro-ohm-cm per 10^12 cm/cm^3 in iron; recovery and recrystallisation reduce deformation-induced resistivity",pillar_B resistivity deformation dislocations point_defects iron,N/A
mativenga_2017_ml,2017,,,,,,,,,,,,,"Random forest and SVM outperform simple ANN for tool wear prediction with moderate datasets; multi-sensor feature fusion improves accuracy; feature extraction (time frequency time-frequency) is critical",pillar_D machine_learning tool_wear monitoring SVM random_forest,10.1016/j.procir.2016.06.098
ghoni_2014_eddy,2014,Carbon steel,,,,eddy current,,,,,,,,Eddy current imaging detects and sizes defects as small as 0.5 mm; multi-frequency measurements separate surface and subsurface information; spatial resolution depends on probe size and frequency,multi eddy_current imaging defect NDT signal_processing,10.15282/jmes.6.2014.2.0074
chinchanikar_2015_machinability,2015,AISI 4340,,hardened 45-65 HRC,,,,,,turning,CBN/ceramic/coated carbide,,,"Cutting forces increase approximately linearly with workpiece hardness; tool wear transitions from adhesion to abrasion/diffusion with increasing hardness; white layer formation is critical surface integrity concern",pillar_A hard_turning hardened_steel review RSM ANN,10.1016/j.ijmachtools.2014.11.002
chinchanikar_2015_machinability,2015,AISI 52100,,hardened 45-65 HRC,,,,,,turning,CBN/ceramic/coated carbide,,,"Cutting forces increase approximately linearly with workpiece hardness; tool wear transitions from adhesion to abrasion/diffusion with increasing hardness; white layer formation is critical surface integrity concern",pillar_A hard_turning hardened_steel review RSM ANN,10.1016/j.ijmachtools.2014.11.002
